English,Polish
you,Ty
i,I
the,.
to,Do
a,A
s,S
it,To
and,I
that,To
t,T
of,z
is,Jest
in,W
what,Co
we,My
me,Ja
this,Ten
he,On
for,Do
my,Mój
on,NA
have,Posiadać
your,twój
do,Do
was,był
m,M
no,NIE
not,nie
be,Być
are,Czy
don,przywdziewać
re,Odnośnie
know,wiedzieć
can,Móc
with,z
but,Ale
all,Wszystko
so,Więc
just,Tylko
there,Tam
here,Tutaj
they,Oni
like,tak jak
ll,ll
get,Dostawać
she,ona
go,Iść
if,Jeśli
right,Prawidłowy
out,na zewnątrz
about,o
up,w górę
at,Na
him,jego
now,Teraz
oh,Oh
one,jeden
come,przychodzić
well,Dobrze
her,jej
how,Jak
yeah,Tak
ve,ve
will,będzie
got,dostał
want,chcieć
think,myśleć
as,Jak
see,Widzieć
did,zrobił
good,Dobry
who,Kto
why,Dlaczego
from,z
let,pozwalać
his,jego
yes,Tak
when,Kiedy
going,pójście
time,czas
an,jakiś
okay,Dobra
back,z powrotem
look,Patrzeć
us,nas
would,zrobiłbym
them,ich
where,Gdzie
were,był
take,Brać
then,Następnie
had,miał
or,Lub
been,został
our,nasz
gonna,zamierzać
tell,powiedzieć
really,Naprawdę
man,Człowiek
some,Niektóre
say,mowić
hey,Hej
could,mógł
d,D
didn,Didn
by,przez
need,potrzebować
something,coś
has,ma
too,zbyt
more,więcej
way,sposób
down,w dół
make,robić
very,bardzo
never,nigdy
only,tylko
people,ludzie
over,nad
because,ponieważ
little,mały
please,Proszę
love,Miłość
should,powinien
mean,mieć na myśli
said,powiedział
sorry,Przepraszam
give,dawać
off,wyłączony
am,jestem  
thank,dziękować
any,każdy
two,dwa
even,nawet
much,dużo
doing,czyn
sure,Jasne
thing,rzecz
these,te
help,pomoc
first,Pierwszy
into,do
anything,wszystko
still,Nadal
find,znajdować
life,życie
nothing,Nic
sir,Pan
day,dzień
god,Bóg
work,praca
their,ich
uh,uh
again,Ponownie
maybe,Może
must,musieć
before,zanim
other,Inny
wait,Czekać
stop,zatrzymywać się
call,dzwonić
after,Po
won,wygrał
talk,rozmawiać
away,z dala
than,niż
thought,myśl
home,dom
night,noc
put,umieścić
great,Świetnie
those,te
last,ostatni
better,lepsza
everything,wszystko
told,powiedział
mr.,Pan.
new,nowy
things,rzeczy
always,zawsze
keep,trzymać
long,długi
years,lata
leave,Zostawić
does,robi
money,pieniądze
around,wokół
doesn,czyn
name,nazwa
place,miejsce
ever,kiedykolwiek
feel,czuć
guys,Chłopaki
father,ojciec
guy,facet
made,zrobiony
old,stary
isn,Isn
which,Który
big,duży
lot,działka
done,zrobione
hello,Witam
nice,Ładny
believe,uważać
girl,dziewczyna
someone,ktoś
fine,Cienki
thanks,Dzięki
wanted,poszukiwany
kind,Uprzejmy
coming,nadchodzący
house,dom
every,każdy
ok,OK
through,Poprzez
being,istnienie
course,kurs
stay,zostawać
left,lewy
dad,tata
enough,wystarczająco 
happened,stało się
came,wszedł
may,móc
mother,matka
wrong,zło
world,świat
bad,zły
might,móc
three,trzy
today,Dzisiaj
listen,Słuchać
another,inny
understand,zrozumieć
hear,słyszeć
remember,Pamiętać
ask,zapytać
own,własny
same,To samo
show,pokazywać
else,w przeciwnym razie
kill,zabić
talking,rozmawiając
found,znaleziony
next,Następny
getting,dostawanie
care,opieka
car,samochód
looking,patrząc
son,syn
try,próbować
woman,kobieta
went,wszedł 
hi,Cześć
dead,martwy
many,wiele
mind,umysł
wasn,był
friend,przyjaciel
best,"to, co najlepsze"
mom,mama
hell,piekło
morning,Poranek
trying,próbować
boy,chłopak
together,razem
yourself,się
job,stanowisko
saw,piła
family,rodzina
real,prawdziwy
without,bez
baby,Dziecko
room,pokój
wouldn,by
already,już
move,przenosić
most,bardzo
seen,widziany
live,na żywo
miss,chybić
actually,Właściwie
huh,Huh
shit,gówno
both,Zarówno
heard,usłyszał
once,raz
ready,gotowy
head,głowa
called,zwany
used,używany
idea,pomysł
knew,Wiedziałem
hold,trzymać
happy,szczęśliwy
door,drzwi
such,taki
fuck,pierdolić
brother,brat
also,Również
pretty,ładny
bit,fragment
took,wziął
haven,przystań
yet,już
men,mężczyźni
whole,cały
start,początek
use,używać
while,chwila
since,od
wife,żona
days,dni
guess,zgadywać
tomorrow,jutro
matter,materiał
meet,poznać
bring,przynieść
tonight,dziś wieczorem
everyone,wszyscy
run,uruchomić
wanna,chcieć
hard,twardy
ah,Ah
alone,sam
myself,ja
school,szkoła
gone,stracony
um,um
end,koniec
saying,powiedzenie
phone,telefon
play,grać
looks,Wygląd
couldn,Czy mógł
fucking,pierdolony
problem,problem
few,kilka
friends,przyjaciele
gotta,musieć
ago,temu
open,otwarty
anyone,ktokolwiek
killed,zabity
hope,mieć nadzieję
face,twarz
until,dopóki
lost,zaginiony
police,Policja
excuse,wymówka
turn,zakręt
business,biznes
case,sprawa
wants,chce
says,mówi
TRUE,PRAWDA
die,umierać
heart,serce
soon,Wkrótce
each,każdy
worry,martwić się
later,później
year,rok
watch,oglądać
music,muzyka
hand,ręka
having,mający
probably,prawdopodobnie
beautiful,Piękny
doctor,lekarz
sit,siedzieć
eat,jeść
thinking,myślący
young,młody
second,drugi
working,pracujący
water,woda
person,osoba
part,część
kids,Dzieci
late,późno
stuff,rzeczy
exactly,Dokładnie
under,pod 
death,śmierć
minute,minuta
pay,płacić
crazy,zwariowany
forget,zapominać
everybody,wszyscy
kid,dziecko
change,zmiana
gave,dał
happen,zdarzyć
damn,Cholera
five,pięć
drink,drink
far,daleko
knows,wie
its,jego
whatever,cokolwiek
eyes,oczy
shut,zamknąć
aren,Aren
hit,uderzyć
taking,nabierający
easy,łatwy
times,czasy
check,sprawdzać
hands,ręce
minutes,minuty
deal,umowa
different,różny
means,oznacza
point,punkt
inside,wewnątrz
makes,robi
asked,spytał
somebody,ktoś
mine,kopalnia
making,zrobienie
body,ciało
afraid,przestraszony
sleep,spać
chance,szansa
dear,Drogi
quite,całkiem
four,cztery
anyway,W każdym razie
close,zamknąć
ain,ain
party,impreza
fun,zabawa
against,przeciwko
word,słowo
comes,pochodzi
important,ważny
set,ustawić
shall,być
story,fabuła
number,numer
daughter,córka
least,najmniej
waiting,Czekanie
hurt,zraniony
wish,życzenie
moment,za chwilę
fight,walka
week,tydzień
husband,mąż
girls,dziewczyny
rest,odpoczynek
married,żonaty
fire,ogień
game,gra
nobody,nikt
mr,Pan
children,dzieci
side,strona
stand,podstawka
read,Czytać
though,chociaż
cut,cięcie
started,Rozpoczęty
sister,siostra
supposed,przypuszczalny
between,między
child,dziecko
goes,wchodzi
hours,godziny
speak,mówić
women,kobiety
behind,za
almost,prawie
truth,prawda
blood,krew
able,zdolny
lady,dama
anymore,nie więcej
playing,gra
gets,dostaje
shot,strzał
reason,powód
trouble,kłopoty
break,przerwa
war,wojna
city,miasto
walk,chodzić
town,miasto
trust,zaufanie
dr.,dr.
met,spotkał
office,biuro
question,pytanie
brought,przyniósł
yours,twój
welcome,Witamy
high,wysoki
wow,Wow
couple,para
half,połowa
died,zmarł
cool,Fajny
free,bezpłatny
either,albo
seems,wydaje się
power,moc
whoa,Whoa
bye,do widzenia
buy,kupić
telling,wymowny
honey,Miód
tried,wypróbowany
front,przód
team,zespół
answer,odpowiedź
gun,pistolet
boys,chłopcy
line,linia
send,wysłać
news,Aktualności
stupid,głupi
bed,łóżko
hurry,spieszyć się
full,pełny
months,miesiące
save,ratować
sometimes,Czasami
become,stać się
along,przed siebie
hate,nienawidzić
food,żywność
outside,poza
light,światło
l,l
needs,wymagania
dog,pies
country,kraj
clear,jasne
order,zamówienie
em,em
fact,fakt
lord,Lord
captain,kapitan
six,sześć
hot,gorący
funny,śmieszny
black,czarny
mrs.,pani.
alive,żywy
pick,wybierać
feeling,uczucie
living,żyjący
cause,przyczyna
ahead,dalej
lose,stracić
king,król
plan,plan
dinner,kolacja
sighs,wzdycha
sort,sortować
leaving,odjazd
shouldn,powinien
running,działanie
boss,szef
alright,W porządku
promise,obietnica
taken,zajęty
safe,bezpieczna
ma,mama
book,książka
sent,wysłano
white,biały
hour,godzina
anybody,ktoś
small,mały
perfect,doskonały
cause,przyczyna
lives,zyje
special,specjalny
parents,rodzice
john,Jan
himself,samego siebie
perhaps,być może
sounds,Dźwięki
serious,poważny
sick,chory
company,firma
ha,ha
scared,przestraszony
uncle,wujek
poor,słaby
red,czerwony
past,przeszłość
earth,ziemia
possible,możliwy
shoot,strzelać
touch,dotykać
sound,dźwięk
top,szczyt
ass,tyłek
laughs,śmiech
cannot,Nie mogę
asking,pytając
win,wygrać
glad,zadowolony
control,kontrola
hmm,Hmm
human,człowiek
drive,prowadzić
hair,włosy
jack,Jacek
bitch,suka
luck,szczęście
murder,morderstwo
happens,dzieje się
air,powietrze
ten,dziesięć
daddy,tatuś
finally,Wreszcie
chuckles,Chichocze
fast,szybko
cold,zimno
seem,wydaje się
laughing,śmiać się
words,słowa
hospital,szpital
